teamID,defense_name,defense_weight,defense_height,defense_age,defense_birthCity,defense_birthState,defense_birthCountry,defense_position,defense_jersey,defense_xp,defense_status,defense_headshot
1,Dee Alford,175.0,71.0,25,Griffin,GA,USA,Cornerback,dee-alford,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4401823.png
1,Troy Andersen,235.0,76.0,23,Dillon,MT,USA,Linebacker,troy-andersen,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4247807.png
1,David Anenih,245.0,74.0,23,Arlington,TX,USA,Linebacker,david-anenih,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240263.png
1,Cornell Armstrong,185.0,71.0,27,Bassfield,MS,USA,Cornerback,cornell-armstrong,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3123963.png
1,Jessie Bates III,200.0,73.0,26,Fort Wayne,IN,USA,Safety,jessie-bates-iii,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3919512.png
1,Calais Campbell,300.0,80.0,36,Aurora,CO,USA,Defensive Tackle,calais-campbell,15,active,https://a.espncdn.com/i/headshots/nfl/players/full/11284.png
1,Lorenzo Carter,252.0,77.0,27,Norcross,GA,USA,Linebacker,lorenzo-carter,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3128715.png
1,Jalen Dalton,300.0,78.0,25,Clemmons,NC,USA,Defensive Tackle,jalen-dalton,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3895834.png
1,Tae Davis,224.0,73.0,26,Oxford,AL,USA,Linebacker,tae-davis,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3131775.png
1,Bud Dupree,269.0,76.0,30,Irwinton,GA,USA,Linebacker,bud-dupree,8,active,https://a.espncdn.com/i/headshots/nfl/players/full/2576702.png
1,Arnold Ebiketie,256.0,75.0,24,Silver Spring,MD,USA,Defensive End,arnold-ebiketie,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4257591.png
1,Kaden Elliss,238.0,75.0,27,Salt Lake City,UT,USA,Linebacker,kaden-elliss,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3124890.png
1,Dorian Etheridge,230.0,75.0,24,Charleston,WV,USA,Linebacker,dorian-etheridge,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240074.png
1,Joe Gaziano,280.0,76.0,26,Scituate,MA,USA,Defensive End,joe-gaziano,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/3915990.png
1,Eddie Goldman,332.0,75.0,29,Washington,DC,USA,Defensive Tackle,eddie-goldman,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2969924.png
1,Ta'Quon Graham,294.0,76.0,24,Temple,TX,USA,Defensive Tackle,taquon-graham,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4262197.png
1,Richie Grant,200.0,72.0,25,Fort Walton Beach,FL,USA,Safety,richie-grant,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4042119.png
1,Javelin Guidry,191.0,69.0,24,Murrieta,CA,USA,Cornerback,javelin-guidry,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4243250.png
1,Darren Hall,190.0,72.0,22,Pasadena,CA,USA,Cornerback,darren-hall,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4261606.png
1,Matt Hankins,185.0,73.0,24,Lewisville,TX,USA,Cornerback,matt-hankins,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240574.png
