teamID,offense_name,offense_weight,offense_height,offense_age,offense_birthCity,offense_birthState,offense_birthCountry,offense_position,offense_jersey,offense_xp,offense_status,offense_headshot
1,Tyler Allgeier,220.0,71.0,22,Fontana,CA,USA,Running Back,tyler-allgeier,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4373626.png
1,B.J. Baylor,202.0,70.0,24,Wharton,TX,USA,Running Back,bj-baylor,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4255988.png
1,Jared Bernhardt,195.0,73.0,25,Longwood,FL,USA,Wide Receiver,jared-bernhardt,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4911488.png
1,Drew Dalman,300.0,75.0,24,Salinas,CA,USA,Center,drew-dalman,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4242553.png
1,Frank Darby,200.0,73.0,25,Jersey City,NJ,USA,Wide Receiver,frank-darby,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4047836.png
1,Tucker Fisk,285.0,76.0,24,Davis,CA,USA,Tight End,tucker-fisk,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4242558.png
1,John FitzPatrick,250.0,79.0,23,Atlanta,GA,USA,Tight End,john-fitzpatrick,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4379401.png
1,Feleipe Franks,234.0,78.0,25,Crawfordville,FL,USA,Tight End,feleipe-franks,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4034948.png
1,Jonotthan Harrison,308.0,76.0,31,Groveland,FL,USA,Center,jonotthan-harrison,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/17066.png
1,Taylor Heinicke,210.0,73.0,30,Lawrenceville,GA,USA,Quarterback,taylor-heinicke,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/2565969.png
1,Matt Hennessy,307.0,75.0,25,Bardonia,NY,USA,Center,matt-hennessy,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4044138.png
1,Ra'Shaun Henry,190.0,75.0,25,Killeen,TX,USA,Wide Receiver,rashaun-henry,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4032625.png
1,Parker Hesse,261.0,75.0,27,Waukon,IA,USA,Tight End,parker-hesse,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/3144991.png
1,Kyle Hinton,315.0,74.0,25,Peoria,AZ,USA,Guard,kyle-hinton,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4682831.png
1,KhaDarel Hodge,183.0,71.0,28,D Lo,MS,USA,Wide Receiver,khadarel-hodge,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3047876.png
1,Mack Hollins,221.0,76.0,29,Rockville,MD,USA,Wide Receiver,mack-hollins,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/2991662.png
1,Caleb Huntley,229.0,70.0,24,Atlanta,GA,USA,Running Back,caleb-huntley,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4244732.png
1,Germain Ifedi,325.0,77.0,28,Houston,TX,USA,Guard,germain-ifedi,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2972304.png
1,Chris Lindstrom,307.0,75.0,26,Dudley,MA,USA,Guard,chris-lindstrom,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3672833.png
